answer,candidate_clue,source_type,source_id,source_ref,reasons
DARK,,type,17,https://pokeapi.co/api/v2/type/17/,missing_payload_or_builder_output
DAZE,,ability,10038,https://pokeapi.co/api/v2/ability/10038/,missing_payload_or_builder_output
FIRE,,type,10,https://pokeapi.co/api/v2/type/10/,missing_payload_or_builder_output
IRON,,item,47,https://pokeapi.co/api/v2/item/47/,missing_payload_or_builder_output
ROCK,,type,6,https://pokeapi.co/api/v2/type/6/,missing_payload_or_builder_output
TAPU,,location,759,https://pokeapi.co/api/v2/location/759/,missing_payload_or_builder_output
BLACK,,location,392,https://pokeapi.co/api/v2/location/392/,missing_payload_or_builder_output
BLAZE,,ability,66,https://pokeapi.co/api/v2/ability/66/,missing_payload_or_builder_output
FAIRY,,type,18,https://pokeapi.co/api/v2/type/18/,missing_payload_or_builder_output
FIGHT,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #185.,location,185,https://pokeapi.co/api/v2/location/185/,disallowed_pattern
GRASS,,type,12,https://pokeapi.co/api/v2/type/12/,missing_payload_or_builder_output
HOENN,,location,258,https://pokeapi.co/api/v2/location/258/,missing_payload_or_builder_output
HONEY,,item,94,https://pokeapi.co/api/v2/item/94/,missing_payload_or_builder_output
MALIE,Location: region Alola; 2 named areas; location index #1045.,location,1045,https://pokeapi.co/api/v2/location/1045/,disallowed_pattern
PRIMO,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #343.,location,343,https://pokeapi.co/api/v2/location/343/,disallowed_pattern
RILEY,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #262.,location,262,https://pokeapi.co/api/v2/location/262/,disallowed_pattern
STEEL,,type,9,https://pokeapi.co/api/v2/type/9/,missing_payload_or_builder_output
WATER,,type,11,https://pokeapi.co/api/v2/type/11/,missing_payload_or_builder_output
AZALEA,Location: region Johto; listed in Gen IV; 1 named area; location index #228.,location,228,https://pokeapi.co/api/v2/location/228/,disallowed_pattern
DRAGON,,type,16,https://pokeapi.co/api/v2/type/16/,missing_payload_or_builder_output
ETERNA,Location: region Sinnoh; listed in Gen IV; 2 named areas; location index #2.,location,2,https://pokeapi.co/api/v2/location/2/,disallowed_pattern
FLYING,,type,3,https://pokeapi.co/api/v2/type/3/,missing_payload_or_builder_output
HAUOLI,Location: region Alola; 3 named areas; location index #1042.,location,1042,https://pokeapi.co/api/v2/location/1042/,disallowed_pattern
HEAHEA,Location: region Alola; listed in Gen VII; 1 named area; location index #741.,location,741,https://pokeapi.co/api/v2/location/741/,disallowed_pattern
MAGNET,,item,219,https://pokeapi.co/api/v2/item/219/,missing_payload_or_builder_output
MEDALI,Location: region Paldea; 0 named areas; location index #826.,location,826,https://pokeapi.co/api/v2/location/826/,disallowed_pattern
MOSSUI,Location: region Paldea; 0 named areas; location index #1069.,location,1069,https://pokeapi.co/api/v2/location/1069/,disallowed_pattern
MT MOON,Location: region Kanto; listed in Gen IV; 5 named areas; location index #80.,location,80,https://pokeapi.co/api/v2/location/80/,disallowed_pattern
MT PYRE,Location: region Hoenn; listed in Gen VI; 8 named areas; location index #441.,location,441,https://pokeapi.co/api/v2/location/441/,disallowed_pattern
NUVEMA,Location: region Unova; listed in Gen V; 1 named area; location index #346.,location,346,https://pokeapi.co/api/v2/location/346/,disallowed_pattern
OLDALE,Location: region Hoenn; listed in Gen VI; 0 named areas; location index #568.,location,568,https://pokeapi.co/api/v2/location/568/,disallowed_pattern
PALLET,Location: region Kanto; listed in Gen IV; 1 named area; location index #86.,location,86,https://pokeapi.co/api/v2/location/86/,disallowed_pattern
PEWTER,,location,231,https://pokeapi.co/api/v2/location/231/,missing_payload_or_builder_output
POISON,,type,4,https://pokeapi.co/api/v2/type/4/,missing_payload_or_builder_output
RESORT,Location: region Sinnoh; listed in Gen IV; 1 named area; location index #60.,location,60,https://pokeapi.co/api/v2/location/60/,disallowed_pattern
SHADOW,,type,10002,https://pokeapi.co/api/v2/type/10002/,missing_payload_or_builder_output
SIMPLE,,ability,86,https://pokeapi.co/api/v2/ability/86/,missing_payload_or_builder_output
SS ANNE,Location: region Kanto; 1 named area; location index #498.,location,498,https://pokeapi.co/api/v2/location/498/,disallowed_pattern
SS AQUA,Location: region Johto; listed in Gen IV; 0 named areas; location index #242.,location,242,https://pokeapi.co/api/v2/location/242/,disallowed_pattern
THRUST,,ability,10004,https://pokeapi.co/api/v2/ability/10004/,missing_payload_or_builder_output
VIOLET,,location,153,https://pokeapi.co/api/v2/location/153/,missing_payload_or_builder_output
WYNDON,Location: region Galar; 1 named area; location index #951.,location,951,https://pokeapi.co/api/v2/location/951/,disallowed_pattern
ANISTAR,Location: region Kalos; listed in Gen VI; 0 named areas; location index #643.,location,643,https://pokeapi.co/api/v2/location/643/,disallowed_pattern
ANVILLE,Location: region Unova; listed in Gen V; 0 named areas; location index #385.,location,385,https://pokeapi.co/api/v2/location/385/,disallowed_pattern
ARTAZON,Location: region Paldea; 0 named areas; location index #821.,location,821,https://pokeapi.co/api/v2/location/821/,disallowed_pattern
BRUN WAY,Location: region Kalos; listed in Gen VI; 0 named areas; location index #636.,location,636,https://pokeapi.co/api/v2/location/636/,disallowed_pattern
CELADON,Location: region Kanto; listed in Gen IV; 2 named areas; location index #67.,location,67,https://pokeapi.co/api/v2/location/67/,disallowed_pattern
CYLLAGE,Location: region Kalos; listed in Gen VI; 1 named area; location index #611.,location,611,https://pokeapi.co/api/v2/location/611/,disallowed_pattern
CYNTHIA,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #263.,location,263,https://pokeapi.co/api/v2/location/263/,disallowed_pattern
DEWFORD,Location: region Hoenn; listed in Gen VI; 1 named area; location index #484.,location,484,https://pokeapi.co/api/v2/location/484/,disallowed_pattern
FORTREE,Location: region Hoenn; listed in Gen VI; 0 named areas; location index #574.,location,574,https://pokeapi.co/api/v2/location/574/,disallowed_pattern
FUCHSIA,Location: region Kanto; listed in Gen IV; 1 named area; location index #76.,location,76,https://pokeapi.co/api/v2/location/76/,disallowed_pattern
GOLDUCK,"Duck Pokémon. Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa. Traits: Gen I; blue color; upright body shape; egg group water1/ground; capture rate 75.",pokemon-species,55,https://pokeapi.co/api/v2/pokemon-species/55/,disallowed_pattern
HULBURY,Location: region Galar; 1 named area; location index #909.,location,909,https://pokeapi.co/api/v2/location/909/,disallowed_pattern
HUMILAU,Location: region Unova; listed in Gen V; 1 named area; location index #533.,location,533,https://pokeapi.co/api/v2/location/533/,disallowed_pattern
ICE PATH,Location: region Johto; listed in Gen IV; 4 named areas; location index #77.,location,77,https://pokeapi.co/api/v2/location/77/,disallowed_pattern
ICIRRUS,Location: region Unova; listed in Gen V; 1 named area; location index #354.,location,354,https://pokeapi.co/api/v2/location/354/,disallowed_pattern
KILOUDE,Location: region Kalos; listed in Gen VI; 0 named areas; location index #659.,location,659,https://pokeapi.co/api/v2/location/659/,disallowed_pattern
LAVERRE,Location: region Kalos; listed in Gen VI; 1 named area; location index #633.,location,633,https://pokeapi.co/api/v2/location/633/,disallowed_pattern
LUMIOSE,,location,599,https://pokeapi.co/api/v2/location/599/,missing_payload_or_builder_output
MAX LAIR,Location: region Galar; 1 named area; location index #917.,location,917,https://pokeapi.co/api/v2/location/917/,disallowed_pattern
MT EMBER,Location: region Kanto; 8 named areas; location index #500.,location,500,https://pokeapi.co/api/v2/location/500/,disallowed_pattern
NACRENE,Location: region Unova; listed in Gen V; 1 named area; location index #349.,location,349,https://pokeapi.co/api/v2/location/349/,disallowed_pattern
NEW BARK,Location: region Johto; listed in Gen IV; 1 named area; location index #84.,location,84,https://pokeapi.co/api/v2/location/84/,disallowed_pattern
NIMBASA,Location: region Unova; listed in Gen V; 0 named areas; location index #351.,location,351,https://pokeapi.co/api/v2/location/351/,disallowed_pattern
OLIVINE,Location: region Johto; listed in Gen IV; 1 named area; location index #85.,location,85,https://pokeapi.co/api/v2/location/85/,disallowed_pattern
ONIS MAW,Location: region Paldea; 0 named areas; location index #1071.,location,1071,https://pokeapi.co/api/v2/location/1071/,disallowed_pattern
PAL PARK,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #173.,location,173,https://pokeapi.co/api/v2/location/173/,disallowed_pattern
PANIOLA,Location: region Alola; listed in Gen VII; 1 named area; location index #740.,location,740,https://pokeapi.co/api/v2/location/740/,disallowed_pattern
PC OSAKA,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #319.,location,319,https://pokeapi.co/api/v2/location/319/,disallowed_pattern
PC TOKYO,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #318.,location,318,https://pokeapi.co/api/v2/location/318/,disallowed_pattern
Pokémon,,location,652,https://pokeapi.co/api/v2/location/652/,missing_payload_or_builder_output
SAFFRON,Location: region Kanto; listed in Gen IV; 4 named areas; location index #234.,location,234,https://pokeapi.co/api/v2/location/234/,disallowed_pattern
SANDGEM,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #163.,location,163,https://pokeapi.co/api/v2/location/163/,disallowed_pattern
SEAFOLK,Location: region Alola; listed in Gen VII; 2 named areas; location index #788.,location,788,https://pokeapi.co/api/v2/location/788/,disallowed_pattern
SHACKLE,,ability,10058,https://pokeapi.co/api/v2/ability/10058/,missing_payload_or_builder_output
SHALOUR,,location,624,https://pokeapi.co/api/v2/location/624/,missing_payload_or_builder_output
SS TIDAL,Location: region Hoenn; listed in Gen VI; 0 named areas; location index #696.,location,696,https://pokeapi.co/api/v2/location/696/,disallowed_pattern
STEALTH,,ability,10030,https://pokeapi.co/api/v2/ability/10030/,missing_payload_or_builder_output
UNDELLA,Location: region Unova; listed in Gen V; 1 named area; location index #384.,location,384,https://pokeapi.co/api/v2/location/384/,disallowed_pattern
VIRBANK,Location: region Unova; listed in Gen V; 1 named area; location index #532.,location,532,https://pokeapi.co/api/v2/location/532/,disallowed_pattern
ZERO LAB,Location: region Paldea; 0 named areas; location index #867.,location,867,https://pokeapi.co/api/v2/location/867/,disallowed_pattern
ACCUMULA,Location: region Unova; listed in Gen V; 0 named areas; location index #347.,location,347,https://pokeapi.co/api/v2/location/347/,disallowed_pattern
AMBRETTE,Location: region Kalos; listed in Gen VI; 1 named area; location index #614.,location,614,https://pokeapi.co/api/v2/location/614/,disallowed_pattern
AREA ZERO,Location: region Paldea; 0 named areas; location index #866.,location,866,https://pokeapi.co/api/v2/location/866/,disallowed_pattern
ASPERTIA,Location: region Unova; listed in Gen V; 1 named area; location index #531.,location,531,https://pokeapi.co/api/v2/location/531/,disallowed_pattern
AXEWS EYE,Location: region Galar; 1 named area; location index #878.,location,878,https://pokeapi.co/api/v2/location/878/,disallowed_pattern
AZURE BAY,Location: region Kalos; listed in Gen VI; 1 named area; location index #661.,location,661,https://pokeapi.co/api/v2/location/661/,disallowed_pattern
CABO POCO,Location: region Paldea; 0 named areas; location index #815.,location,815,https://pokeapi.co/api/v2/location/815/,disallowed_pattern
CANALAVE,Location: region Sinnoh; listed in Gen IV; 1 named area; location index #1.,location,1,https://pokeapi.co/api/v2/location/1/,disallowed_pattern
CASTELIA,Location: region Unova; listed in Gen V; 2 named areas; location index #350.,location,350,https://pokeapi.co/api/v2/location/350/,disallowed_pattern
CELESTIC,Location: region Sinnoh; listed in Gen IV; 1 named area; location index #59.,location,59,https://pokeapi.co/api/v2/location/59/,disallowed_pattern
CERULEAN,Location: region Kanto; listed in Gen IV; 1 named area; location index #68.,location,68,https://pokeapi.co/api/v2/location/68/,disallowed_pattern
CIANWOOD,Location: region Johto; listed in Gen IV; 4 named areas; location index #70.,location,70,https://pokeapi.co/api/v2/location/70/,disallowed_pattern
CORTONDO,Location: region Paldea; 0 named areas; location index #818.,location,818,https://pokeapi.co/api/v2/location/818/,disallowed_pattern
COURIWAY,Location: region Kalos; listed in Gen VI; 1 named area; location index #646.,location,646,https://pokeapi.co/api/v2/location/646/,disallowed_pattern
DARK CAVE,Location: region Johto; listed in Gen IV; 2 named areas; location index #72.,location,72,https://pokeapi.co/api/v2/location/72/,disallowed_pattern
DAZZLING,,ability,219,https://pokeapi.co/api/v2/ability/219/,missing_payload_or_builder_output
ECRUTEAK,Location: region Johto; listed in Gen IV; 1 named area; location index #75.,location,75,https://pokeapi.co/api/v2/location/75/,disallowed_pattern
ELECTRIC,,type,13,https://pokeapi.co/api/v2/type/13/,missing_payload_or_builder_output
FLOAROMA,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #164.,location,164,https://pokeapi.co/api/v2/location/164/,disallowed_pattern
FLOCCESY,Location: region Unova; listed in Gen V; 1 named area; location index #536.,location,536,https://pokeapi.co/api/v2/location/536/,disallowed_pattern
GEOSENGE,Location: region Kalos; listed in Gen VI; 0 named areas; location index #620.,location,620,https://pokeapi.co/api/v2/location/620/,disallowed_pattern
IRON ROOM,Location: region Unova; listed in Gen V; 1 named area; location index #565.,location,565,https://pokeapi.co/api/v2/location/565/,disallowed_pattern
ITEM DROP,Miracle Shooter this item: Forces a friendly Pokémon to this this item its held this item. (seen in Gen V to Gen VIII).,item,653,https://pokeapi.co/api/v2/item/653/,answer_fragment_leak
ITEM URGE,Miracle Shooter this item: Forcibly activates a friendly Pokémon’s held this item. (seen in Gen V to Gen VIII).,item,654,https://pokeapi.co/api/v2/item/654/,answer_fragment_leak
JUBILIFE,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #167.,location,167,https://pokeapi.co/api/v2/location/167/,disallowed_pattern
KALAE BAY,Location: region Alola; listed in Gen VII; 1 named area; location index #714.,location,714,https://pokeapi.co/api/v2/location/714/,disallowed_pattern
KONIKONI,Location: region Alola; listed in Gen VII; 1 named area; location index #742.,location,742,https://pokeapi.co/api/v2/location/742/,disallowed_pattern
LACUNOSA,Location: region Unova; listed in Gen V; 0 named areas; location index #383.,location,383,https://pokeapi.co/api/v2/location/383/,disallowed_pattern
LAVENDER,Location: region Kanto; listed in Gen IV; 1 named area; location index #232.,location,232,https://pokeapi.co/api/v2/location/232/,disallowed_pattern
LENTIMAS,Location: region Unova; listed in Gen V; 0 named areas; location index #537.,location,537,https://pokeapi.co/api/v2/location/537/,disallowed_pattern
LEVINCIA,Location: region Paldea; 0 named areas; location index #822.,location,822,https://pokeapi.co/api/v2/location/822/,disallowed_pattern
LILYCOVE,Location: region Hoenn; listed in Gen VI; 2 named areas; location index #431.,location,431,https://pokeapi.co/api/v2/location/431/,disallowed_pattern
LOST CAVE,Location: region Kanto; 11 named areas; location index #504.,location,504,https://pokeapi.co/api/v2/location/504/,disallowed_pattern
LOST ITEM,Plot Advancement this item: A Poké Doll this this item by the Copycat who lives in Saffron City. Trade for a Pass. (seen in Gen IV to Gen VIII).,item,478,https://pokeapi.co/api/v2/item/478/,answer_fragment_leak
MAHOGANY,Location: region Johto; listed in Gen IV; 1 named area; location index #230.,location,230,https://pokeapi.co/api/v2/location/230/,disallowed_pattern
MAUVILLE,Location: region Hoenn; listed in Gen VI; 0 named areas; location index #572.,location,572,https://pokeapi.co/api/v2/location/572/,disallowed_pattern
MESAGOZA,Location: region Paldea; 0 named areas; location index #817.,location,817,https://pokeapi.co/api/v2/location/817/,disallowed_pattern
MOSSDEEP,Location: region Hoenn; listed in Gen VI; 2 named areas; location index #432.,location,432,https://pokeapi.co/api/v2/location/432/,disallowed_pattern
MT MORTAR,Location: region Johto; listed in Gen IV; 4 named areas; location index #81.,location,81,https://pokeapi.co/api/v2/location/81/,disallowed_pattern
MT SILVER,Location: region Johto; listed in Gen IV; 8 named areas; location index #82.,location,82,https://pokeapi.co/api/v2/location/82/,disallowed_pattern
NS CASTLE,Location: region Unova; listed in Gen V; 1 named area; location index #387.,location,387,https://pokeapi.co/api/v2/location/387/,disallowed_pattern
OPELUCID,Location: region Unova; listed in Gen V; 0 named areas; location index #355.,location,355,https://pokeapi.co/api/v2/location/355/,disallowed_pattern
OREBURGH,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #168.,location,168,https://pokeapi.co/api/v2/location/168/,disallowed_pattern
PASTORIA,Location: region Sinnoh; listed in Gen IV; 1 named area; location index #3.,location,3,https://pokeapi.co/api/v2/location/3/,disallowed_pattern
PC NAGOYA,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #321.,location,321,https://pokeapi.co/api/v2/location/321/,disallowed_pattern
POCO PATH,Location: region Paldea; 0 named areas; location index #835.,location,835,https://pokeapi.co/api/v2/location/835/,disallowed_pattern
POKEPARK,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #305.,location,305,https://pokeapi.co/api/v2/location/305/,disallowed_pattern
POSTWICK,Location: region Galar; 1 named area; location index #924.,location,924,https://pokeapi.co/api/v2/location/924/,disallowed_pattern
RED PETAL,Unused item: XXX new effect for this item (seen in Gen VII to Gen VIII).,item,983,https://pokeapi.co/api/v2/item/983/,disallowed_pattern
RUSTBORO,Location: region Hoenn; listed in Gen VI; 1 named area; location index #573.,location,573,https://pokeapi.co/api/v2/location/573/,disallowed_pattern
SOLACEON,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #165.,location,165,https://pokeapi.co/api/v2/location/165/,disallowed_pattern
STRIATON,Location: region Unova; listed in Gen V; 1 named area; location index #348.,location,348,https://pokeapi.co/api/v2/location/348/,disallowed_pattern
SURVIVAL,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #186.,location,186,https://pokeapi.co/api/v2/location/186/,disallowed_pattern
TWINLEAF,Location: region Sinnoh; listed in Gen IV; 1 named area; location index #58.,location,58,https://pokeapi.co/api/v2/location/58/,disallowed_pattern
VIRIDIAN,Location: region Kanto; listed in Gen IV; 1 named area; location index #154.,location,154,https://pokeapi.co/api/v2/location/154/,disallowed_pattern
WI FI GIFT,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #338.,location,338,https://pokeapi.co/api/v2/location/338/,disallowed_pattern
ZAPAPICO,Location: region Paldea; 0 named areas; location index #823.,location,823,https://pokeapi.co/api/v2/location/823/,disallowed_pattern
AIPOM HILL,Location: region Hisui; 1 named area; location index #952.,location,952,https://pokeapi.co/api/v2/location/952/,disallowed_pattern
ALFORNADA,Location: region Paldea; 0 named areas; location index #819.,location,819,https://pokeapi.co/api/v2/location/819/,disallowed_pattern
AQUACORDE,Location: region Kalos; listed in Gen VI; 1 named area; location index #590.,location,590,https://pokeapi.co/api/v2/location/590/,disallowed_pattern
BALLONLEA,Location: region Galar; 1 named area; location index #880.,location,880,https://pokeapi.co/api/v2/location/880/,disallowed_pattern
BELL TOWER,Location: region Johto; listed in Gen IV; 11 named areas; location index #139.,location,139,https://pokeapi.co/api/v2/location/139/,disallowed_pattern
BIKE GREEN,Unused item: XXX new effect for this item--this item (seen in Gen VII to Gen VIII).,item,919,https://pokeapi.co/api/v2/item/919/,disallowed_pattern
BLACK GATE,Location: region Unova; listed in Gen V; 0 named areas; location index #424.,location,424,https://pokeapi.co/api/v2/location/424/,disallowed_pattern
BLUE PETAL,Unused item: XXX new effect for this item (seen in Gen VII to Gen VIII).,item,982,https://pokeapi.co/api/v2/item/982/,disallowed_pattern
CAMPHRIER,Location: region Kalos; listed in Gen VI; 0 named areas; location index #604.,location,604,https://pokeapi.co/api/v2/location/604/,disallowed_pattern
CAPE BRINK,Location: region Kanto; 1 named area; location index #507.,location,507,https://pokeapi.co/api/v2/location/507/,disallowed_pattern
CLIFF CAVE,Location: region Johto; listed in Gen IV; 0 named areas; location index #244.,location,244,https://pokeapi.co/api/v2/location/244/,disallowed_pattern
COUMARINE,Location: region Kalos; listed in Gen VI; 0 named areas; location index #628.,location,628,https://pokeapi.co/api/v2/location/628/,disallowed_pattern
DREAMYARD,Location: region Unova; listed in Gen V; 2 named areas; location index #374.,location,374,https://pokeapi.co/api/v2/location/374/,disallowed_pattern
DRIFTVEIL,Location: region Unova; listed in Gen V; 1 named area; location index #352.,location,352,https://pokeapi.co/api/v2/location/352/,disallowed_pattern
DUSTY BOWL,Location: region Galar; 1 named area; location index #890.,location,890,https://pokeapi.co/api/v2/location/890/,disallowed_pattern
ENTRALINK,Location: region Unova; listed in Gen V; 0 named areas; location index #411.,location,411,https://pokeapi.co/api/v2/location/411/,disallowed_pattern
EVENT SITE,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #340.,location,340,https://pokeapi.co/api/v2/location/340/,disallowed_pattern
FALLARBOR,Location: region Hoenn; listed in Gen VI; 1 named area; location index #570.,location,570,https://pokeapi.co/api/v2/location/570/,disallowed_pattern
FIERY PATH,Location: region Hoenn; listed in Gen VI; 1 named area; location index #440.,location,440,https://pokeapi.co/api/v2/location/440/,disallowed_pattern
FRIGID SEA,Location: region Galar; 1 named area; location index #896.,location,896,https://pokeapi.co/api/v2/location/896/,disallowed_pattern
GALAR MINE,Location: region this location; 1 named area; location index #898.,location,898,https://pokeapi.co/api/v2/location/898/,disallowed_pattern
GIANTS BED,Location: region Galar; 1 named area; location index #900.,location,900,https://pokeapi.co/api/v2/location/900/,disallowed_pattern
GIANTS CAP,Location: region Galar; 3 named areas; location index #1041.,location,1041,https://pokeapi.co/api/v2/location/1041/,disallowed_pattern
GOLDENROD,Location: region Johto; listed in Gen IV; 2 named areas; location index #229.,location,229,https://pokeapi.co/api/v2/location/229/,disallowed_pattern
GRAND LAKE,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #211.,location,211,https://pokeapi.co/api/v2/location/211/,disallowed_pattern
GREEN PATH,Location: region Kanto; 1 named area; location index #515.,location,515,https://pokeapi.co/api/v2/location/515/,disallowed_pattern
HANO BEACH,Location: region Alola; listed in Gen VII; 1 named area; location index #738.,location,738,https://pokeapi.co/api/v2/location/738/,disallowed_pattern
HEARTHOME,Location: region Sinnoh; listed in Gen IV; 2 named areas; location index #169.,location,169,https://pokeapi.co/api/v2/location/169/,disallowed_pattern
